0 | Reversible reaction | Chemical reaction | proton-motive force | potential energy 
258 | chlorophyll A | hydrocarbon molecule | ion-channel | transport membrane protein 
258 | chlorophyll A | hydrocarbon molecule | ion-channel | transmembrane protein 
258 | chlorophyll A | hydrocarbon molecule | ion-channel | integral protein 
259 | chlorophyll A | organic molecule | ion-channel | channel protein 
259 | chlorophyll A | organic molecule | ion-channel | transport membrane protein 
259 | chlorophyll A | organic molecule | ion-channel | transmembrane protein 
259 | chlorophyll A | organic molecule | ion-channel | integral protein 
260 | chlorophyll A | pigment | ion-channel | channel protein 
260 | chlorophyll A | pigment | ion-channel | transport membrane protein 
260 | chlorophyll A | pigment | ion-channel | transmembrane protein 
261 | chlorophyll A | photosynthetic pigment | ion-channel | channel protein 
261 | chlorophyll A | photosynthetic pigment | ion-channel | transport membrane protein 
262 | chlorophyll A | chlorophyll | ion-channel | channel protein 
263 | Anaerobic metabolism | Metabolism | lactic acid | carboxylic acid 
264 | FADH2 | organic molecule | hydrocarbon molecule | organic molecule 
264 | FADH2 | organic molecule | hydrocarbon molecule | molecule 
265 | nonpolar covalent bond | chemical bond | photosynthetic pigment | pigment 
265 | nonpolar covalent bond | chemical bond | photosynthetic pigment | organic molecule 
266 | nonpolar covalent bond | covalent bond | photosynthetic pigment | pigment 
267 | methionine | hydrophobic amino acid | multiprotein complex-I | protein complex 
268 | water molecule | polar molecule | buffered solution | aqueous solution 
269 | chlorine atom | atom | peptide linkage | polar covalent bond 
269 | chlorine atom | atom | peptide linkage | covalent bond 
270 | Condensation reaction | Endergonic reaction | complex ion | ion 
271 | centrosome | cellular structure | secondary lysosome | lysosome 
271 | centrosome | cellular structure | secondary lysosome | organelle 
272 | centrosome | microtubule organizing center | secondary lysosome | lysosome 
273 | competitive inhibitor | inhibitor | oil | fat molecule 
273 | competitive inhibitor | inhibitor | oil | triglyceride 
274 | competitive inhibitor | enzyme inhibitor | oil | fat molecule 
275 | polar molecule | hydrophilic compound | wax | lipid 
276 | polar molecule | molecule | wax | lipid 
277 | Cotransport of sucrose and hydrogen ion by plant cell | Cotransport | Lactic acid fermentation in muscle cell | Lactic acid fermentation 
277 | Cotransport of sucrose and hydrogen ion by plant cell | Cotransport | Lactic acid fermentation in muscle cell | Fermentation 
277 | Cotransport of sucrose and hydrogen ion by plant cell | Cotransport | Lactic acid fermentation in muscle cell | Anaerobic metabolism 
277 | Cotransport of sucrose and hydrogen ion by plant cell | Cotransport | Lactic acid fermentation in muscle cell | Catabolic pathway 
277 | Cotransport of sucrose and hydrogen ion by plant cell | Cotransport | Lactic acid fermentation in muscle cell | Metabolism 
277 | Cotransport of sucrose and hydrogen ion by plant cell | Cotransport | Lactic acid fermentation in muscle cell | Exergonic reaction 
277 | Cotransport of sucrose and hydrogen ion by plant cell | Cotransport | Lactic acid fermentation in muscle cell | Metabolic pathway 
278 | amyloplast | cellular structure | carrier protein | transport membrane protein 
278 | amyloplast | cellular structure | carrier protein | transmembrane protein 
278 | amyloplast | cellular structure | carrier protein | integral protein 
279 | amyloplast | organelle | carrier protein | transport membrane protein 
279 | amyloplast | organelle | carrier protein | transmembrane protein 
280 | amyloplast | plastid | carrier protein | transport membrane protein 
281 | deoxyribose | pentose | transition state intermediate | molecule 
282 | Oxidative phosphorylation | Metabolic pathway | Energy investment phase of glycolysis | Catabolic pathway 
283 | light | electromagnetic energy | purine | nitrogenous base 
284 | G-protein | molecule | deoxyribose | pentose 
284 | G-protein | molecule | deoxyribose | monosaccharide 
284 | G-protein | molecule | deoxyribose | sugar 
284 | G-protein | molecule | deoxyribose | carbohydrate 
285 | G-protein | polymer | deoxyribose | pentose 
285 | G-protein | polymer | deoxyribose | monosaccharide 
285 | G-protein | polymer | deoxyribose | sugar 
286 | G-protein | organic molecule | deoxyribose | pentose 
286 | G-protein | organic molecule | deoxyribose | monosaccharide 
286 | G-protein | organic molecule | deoxyribose | sugar 
287 | G-protein | protein | deoxyribose | pentose 
287 | G-protein | protein | deoxyribose | monosaccharide 
288 | electromagnetic energy | energy | Cellular respiration of protein | Catabolism 
288 | electromagnetic energy | energy | Cellular respiration of protein | Exergonic process 
288 | electromagnetic energy | energy | Cellular respiration of protein | Metabolism 
289 | electromagnetic energy | radiation | Cellular respiration of protein | Catabolism 
290 | Signal transduction with IP3 | Signal transduction | desmosome | intercellular junction 
291 | sunlight | light | Light microscopy | Microscopy 
292 | noncompetitive inhibitor | inhibitor | peptide linkage | polar covalent bond 
292 | noncompetitive inhibitor | inhibitor | peptide linkage | covalent bond 
293 | noncompetitive inhibitor | enzyme inhibitor | peptide linkage | polar covalent bond 
294 | oil | fat molecule | Light reaction | Metabolic pathway 
295 | calcium | atom | monosaccharide | sugar 
295 | calcium | atom | monosaccharide | carbohydrate 
296 | proton-motive force | potential energy | Phagocytosis | Endocytosis 
297 | plastid | cellular structure | acetaldehyde | aldehyde 
297 | plastid | cellular structure | acetaldehyde | organic molecule 
298 | plastid | organelle | acetaldehyde | aldehyde 
299 | carbohydrate side chain | oligosaccharide | muscle cell | animal cell 
300 | helium atom | inert atom | mitogen-activated protein kinase | protein kinase 
301 | globular protein | polymer | serine | polar amino acid 
301 | globular protein | polymer | serine | hydrophilic amino acid 
301 | globular protein | polymer | serine | amino acid 
302 | globular protein | organic molecule | serine | polar amino acid 
302 | globular protein | organic molecule | serine | hydrophilic amino acid 
302 | globular protein | organic molecule | serine | amino acid 
303 | globular protein | protein | serine | polar amino acid 
303 | globular protein | protein | serine | hydrophilic amino acid 
304 | globular protein | water soluble protein | serine | polar amino acid 
305 | aquaporin | transmembrane protein | rough endoplasmic reticulum | endoplasmic reticulum 
305 | aquaporin | transmembrane protein | rough endoplasmic reticulum | organelle 
305 | aquaporin | transmembrane protein | rough endoplasmic reticulum | cellular structure 
306 | aquaporin | transport membrane protein | rough endoplasmic reticulum | endoplasmic reticulum 
306 | aquaporin | transport membrane protein | rough endoplasmic reticulum | organelle 
307 | aquaporin | channel protein | rough endoplasmic reticulum | endoplasmic reticulum 
308 | margarine | fat molecule | purine | nitrogenous base 
309 | valence shell | electron-shell | cholesterol | amphipathic molecule 
309 | valence shell | electron-shell | cholesterol | steroid 
310 | hemoglobin | water soluble protein | valine | hydrophobic amino acid 
310 | hemoglobin | water soluble protein | valine | amino acid 
311 | hemoglobin | pigment | valine | hydrophobic amino acid 
311 | hemoglobin | pigment | valine | amino acid 
312 | hemoglobin | protein | valine | hydrophobic amino acid 
312 | hemoglobin | protein | valine | amino acid 
313 | hemoglobin | globular protein | valine | hydrophobic amino acid 
314 | sugar | carbohydrate | phospholipid bilayer | cellular structure 
315 | phospholipid | amphipathic molecule | nonpolar substance | hydrophobic substance 
316 | phospholipid | lipid | nonpolar substance | hydrophobic substance 
317 | bacterium | prokaryote | Cellular respiration | Aerobic metabolism 
317 | bacterium | prokaryote | Cellular respiration | Catabolic pathway 
318 | Osmosis | Passive transport | 3 phosphoglycerate | organic molecule 
318 | Osmosis | Passive transport | 3 phosphoglycerate | molecule 
319 | Exergonic reaction | Chemical reaction | proton-motive force | potential energy 
319 | Exergonic reaction | Chemical reaction | proton-motive force | energy 
320 | Exergonic reaction | Exergonic process | proton-motive force | potential energy 
321 | flagellum | cellular structure | bacterium | prokaryote 
322 | Anabolic pathway | Chemical reaction | connexon | channel protein 
322 | Anabolic pathway | Chemical reaction | connexon | transport membrane protein 
322 | Anabolic pathway | Chemical reaction | connexon | transmembrane protein 
323 | Anabolic pathway | Endergonic process | connexon | channel protein 
323 | Anabolic pathway | Endergonic process | connexon | transport membrane protein 
324 | Anabolic pathway | Metabolic pathway | connexon | channel protein 
325 | Anabolic pathway | Endergonic reaction | connexon | channel protein 
326 | autocrine | organic molecule | double bond | covalent bond 
326 | autocrine | organic molecule | double bond | chemical bond 
327 | phosphatidylcholine | phospholipid | polar side chain | R-group 
328 | phosphatidylcholine | phospholipid | crista | cellular structure 
329 | lysosome | cellular structure | animal | eukaryote 
329 | lysosome | cellular structure | animal | multicellular organism 
329 | lysosome | cellular structure | animal | organism 
330 | lysosome | organelle | animal | eukaryote 
330 | lysosome | organelle | animal | multicellular organism 
331 | motor protein | polymer | peroxisome | organelle 
331 | motor protein | polymer | peroxisome | cellular structure 
332 | motor protein | organic molecule | peroxisome | organelle 
332 | motor protein | organic molecule | peroxisome | cellular structure 
333 | motor protein | protein | peroxisome | organelle 
334 | sodium ion | cation | pyrimidine | nitrogenous base 
335 | beta sheet | secondary structure | sodium chloride | salt 
336 | alcohol | organic molecule | Redox reaction | Chemical reaction 
337 | Cell signaling with intracellular receptor | Cell signaling | lyase | protein enzyme 
337 | Cell signaling with intracellular receptor | Cell signaling | lyase | enzyme 
337 | Cell signaling with intracellular receptor | Cell signaling | lyase | protein 
338 | manganese atom | atom | Cellular respiration | Aerobic metabolism 
338 | manganese atom | atom | Cellular respiration | Catabolic pathway 
338 | manganese atom | atom | Cellular respiration | Metabolism 
338 | manganese atom | atom | Cellular respiration | Exergonic reaction 
