0 | gated Channel | phospholipid bilayer | ATP synthase | phospholipid bilayer 
407 | integrin | phospholipid bilayer | aquaporin | phospholipid bilayer 
408 | desmosome | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
409 | cytoplasmic protein kinase | cytoplasm | microfibril | transport vesicle 
410 | gated Channel | phospholipid bilayer | proton pump | phospholipid bilayer 
411 | proton pump | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
412 | gated Channel | phospholipid bilayer | aquaporin | phospholipid bilayer 
413 | integral protein | phospholipid bilayer | desmosome | phospholipid bilayer 
414 | integrin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
415 | stroma | chloroplast | ATP synthase | phospholipid bilayer 
416 | carrier protein | phospholipid bilayer | tight junction | phospholipid bilayer 
417 | carrier protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
418 | stroma | chloroplast | integral protein | phospholipid bilayer 
419 | proton pump | phospholipid bilayer | hydration shell | water 
420 | transport membrane protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
421 | cytoplasmic protein kinase | cytoplasm | desmosome | phospholipid bilayer 
422 | sodium-potassium pump | phospholipid bilayer | desmosome | phospholipid bilayer 
423 | carrier protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
424 | carrier protein | phospholipid bilayer | integral protein | phospholipid bilayer 
425 | carrier protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
426 | proton pump | phospholipid bilayer | tight junction | phospholipid bilayer 
427 | stroma | chloroplast | gated Channel | phospholipid bilayer 
428 | transport membrane protein | phospholipid bilayer | integrin | phospholipid bilayer 
429 | hydration shell | water | integrin | phospholipid bilayer 
430 | integrin | phospholipid bilayer | stroma | chloroplast 
431 | microfibril | transport vesicle | proton pump | phospholipid bilayer 
432 | stroma | chloroplast | integrin | phospholipid bilayer 
433 | ATP synthase | phospholipid bilayer | integral protein | phospholipid bilayer 
434 | aquaporin | phospholipid bilayer | desmosome | phospholipid bilayer 
435 | tight junction | phospholipid bilayer | carrier protein | phospholipid bilayer 
436 | hydration shell | water | integral protein | phospholipid bilayer 
437 | transport membrane protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
438 | integrin | phospholipid bilayer | aquaporin | phospholipid bilayer 
439 | stroma | chloroplast | transport membrane protein | phospholipid bilayer 
440 | transport membrane protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
441 | transport membrane protein | phospholipid bilayer | microfibril | transport vesicle 
442 | cytoplasmic protein kinase | cytoplasm | hydration shell | water 
443 | integral protein | phospholipid bilayer | tight junction | phospholipid bilayer 
444 | gated Channel | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
445 | transport membrane protein | phospholipid bilayer | desmosome | phospholipid bilayer 
446 | integral protein | phospholipid bilayer | desmosome | phospholipid bilayer 
447 | gated Channel | phospholipid bilayer | gated Channel | phospholipid bilayer 
448 | stroma | chloroplast | cytoplasmic protein kinase | cytoplasm 
449 | aquaporin | phospholipid bilayer | integrin | phospholipid bilayer 
450 | desmosome | phospholipid bilayer | proton pump | phospholipid bilayer 
451 | cytoplasmic protein kinase | cytoplasm | proton pump | phospholipid bilayer 
452 | hydration shell | water | carrier protein | phospholipid bilayer 
453 | cytoplasmic protein kinase | cytoplasm | sodium-potassium pump | phospholipid bilayer 
454 | integrin | phospholipid bilayer | desmosome | phospholipid bilayer 
455 | microfibril | transport vesicle | integral protein | phospholipid bilayer 
456 | cytoplasmic protein kinase | cytoplasm | gated Channel | phospholipid bilayer 
457 | aquaporin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
458 | ATP synthase | phospholipid bilayer | integrin | phospholipid bilayer 
459 | stroma | chloroplast | desmosome | phospholipid bilayer 
460 | cytoplasmic protein kinase | cytoplasm | integral protein | phospholipid bilayer 
461 | gated Channel | phospholipid bilayer | stroma | chloroplast 
462 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
463 | stroma | chloroplast | integral protein | phospholipid bilayer 
464 | gated Channel | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
465 | stroma | chloroplast | sodium-potassium pump | phospholipid bilayer 
466 | sodium-potassium pump | phospholipid bilayer | hydration shell | water 
467 | proton pump | phospholipid bilayer | proton pump | phospholipid bilayer 
468 | tight junction | phospholipid bilayer | integral protein | phospholipid bilayer 
469 | stroma | chloroplast | carrier protein | phospholipid bilayer 
470 | stroma | chloroplast | integral protein | phospholipid bilayer 
471 | sodium-potassium pump | phospholipid bilayer | tight junction | phospholipid bilayer 
472 | tight junction | phospholipid bilayer | ATP synthase | phospholipid bilayer 
473 | hydration shell | water | hydration shell | water 
474 | aquaporin | phospholipid bilayer | aquaporin | phospholipid bilayer 
475 | tight junction | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
476 | carrier protein | phospholipid bilayer | proton pump | phospholipid bilayer 
477 | sodium-potassium pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
478 | stroma | chloroplast | ATP synthase | phospholipid bilayer 
479 | aquaporin | phospholipid bilayer | integral protein | phospholipid bilayer 
480 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
481 | stroma | chloroplast | gated Channel | phospholipid bilayer 
482 | stroma | chloroplast | desmosome | phospholipid bilayer 
483 | aquaporin | phospholipid bilayer | carrier protein | phospholipid bilayer 
484 | carrier protein | phospholipid bilayer | microfibril | transport vesicle 
485 | transport membrane protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
486 | integral protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
487 | hydration shell | water | microfibril | transport vesicle 
488 | hydration shell | water | carrier protein | phospholipid bilayer 
489 | gated Channel | phospholipid bilayer | proton pump | phospholipid bilayer 
490 | tight junction | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
491 | gated Channel | phospholipid bilayer | carrier protein | phospholipid bilayer 
492 | microfibril | transport vesicle | transport membrane protein | phospholipid bilayer 
493 | transport membrane protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
494 | integral protein | phospholipid bilayer | tight junction | phospholipid bilayer 
495 | aquaporin | phospholipid bilayer | hydration shell | water 
496 | cytoplasmic protein kinase | cytoplasm | ATP synthase | phospholipid bilayer 
497 | transport membrane protein | phospholipid bilayer | integrin | phospholipid bilayer 
498 | ATP synthase | phospholipid bilayer | proton pump | phospholipid bilayer 
499 | tight junction | phospholipid bilayer | stroma | chloroplast 
500 | aquaporin | phospholipid bilayer | integrin | phospholipid bilayer 
501 | desmosome | phospholipid bilayer | aquaporin | phospholipid bilayer 
502 | aquaporin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
503 | transport membrane protein | phospholipid bilayer | hydration shell | water 
504 | microfibril | transport vesicle | aquaporin | phospholipid bilayer 
505 | gated Channel | phospholipid bilayer | aquaporin | phospholipid bilayer 
506 | ATP synthase | phospholipid bilayer | desmosome | phospholipid bilayer 
507 | transport membrane protein | phospholipid bilayer | proton pump | phospholipid bilayer 
508 | hydration shell | water | aquaporin | phospholipid bilayer 
509 | aquaporin | phospholipid bilayer | hydration shell | water 
510 | transport membrane protein | phospholipid bilayer | tight junction | phospholipid bilayer 
511 | hydration shell | water | ATP synthase | phospholipid bilayer 
512 | cytoplasmic protein kinase | cytoplasm | transport membrane protein | phospholipid bilayer 
513 | microfibril | transport vesicle | ATP synthase | phospholipid bilayer 
514 | gated Channel | phospholipid bilayer | integral protein | phospholipid bilayer 
515 | sodium-potassium pump | phospholipid bilayer | stroma | chloroplast 
516 | cytoplasmic protein kinase | cytoplasm | gated Channel | phospholipid bilayer 
517 | sodium-potassium pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
518 | ATP synthase | phospholipid bilayer | tight junction | phospholipid bilayer 
519 | integrin | phospholipid bilayer | integrin | phospholipid bilayer 
520 | microfibril | transport vesicle | integrin | phospholipid bilayer 
521 | hydration shell | water | hydration shell | water 
522 | sodium-potassium pump | phospholipid bilayer | tight junction | phospholipid bilayer 
523 | integral protein | phospholipid bilayer | stroma | chloroplast 
524 | aquaporin | phospholipid bilayer | tight junction | phospholipid bilayer 
525 | proton pump | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
526 | gated Channel | phospholipid bilayer | proton pump | phospholipid bilayer 
527 | aquaporin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
528 | aquaporin | phospholipid bilayer | integral protein | phospholipid bilayer 
529 | stroma | chloroplast | microfibril | transport vesicle 
530 | hydration shell | water | microfibril | transport vesicle 
531 | cytoplasmic protein kinase | cytoplasm | tight junction | phospholipid bilayer 
532 | microfibril | transport vesicle | carrier protein | phospholipid bilayer 
533 | stroma | chloroplast | integral protein | phospholipid bilayer 
534 | cytoplasmic protein kinase | cytoplasm | microfibril | transport vesicle 
535 | tight junction | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
536 | proton pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
537 | desmosome | phospholipid bilayer | hydration shell | water 
538 | desmosome | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
539 | gated Channel | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
540 | ATP synthase | phospholipid bilayer | gated Channel | phospholipid bilayer 
541 | gated Channel | phospholipid bilayer | hydration shell | water 
542 | gated Channel | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
543 | integral protein | phospholipid bilayer | hydration shell | water 
544 | transport membrane protein | phospholipid bilayer | proton pump | phospholipid bilayer 
545 | integral protein | phospholipid bilayer | microfibril | transport vesicle 
546 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
547 | integrin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
548 | microfibril | transport vesicle | tight junction | phospholipid bilayer 
549 | tight junction | phospholipid bilayer | integral protein | phospholipid bilayer 
550 | hydration shell | water | microfibril | transport vesicle 
551 | carrier protein | phospholipid bilayer | proton pump | phospholipid bilayer 
552 | desmosome | phospholipid bilayer | gated Channel | phospholipid bilayer 
553 | sodium-potassium pump | phospholipid bilayer | proton pump | phospholipid bilayer 
554 | hydration shell | water | sodium-potassium pump | phospholipid bilayer 
555 | aquaporin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
556 | tight junction | phospholipid bilayer | proton pump | phospholipid bilayer 
