0 | CAM plant | Starch storage by plant | thylakoid | Light reaction 
908 | radioactive isotope | Radioactivity | pepsin | Hydrolysis 
909 | ATP synthase | Facilitated diffusion | cytoplasmic protein kinase | Phosphorylation 
910 | ATP synthase | Synthesis of ATP | cytoplasmic protein kinase | Phosphorylation 
911 | plant | Starch storage by plant | lysosome | Intracellular digestion 
911 | plant | Starch storage by plant | lysosome | Autophagy 
912 | plant | Photosynthesis | lysosome | Intracellular digestion 
912 | plant | Photosynthesis | lysosome | Autophagy 
914 | thylakoid | Light reaction | ATP synthase | Facilitated diffusion 
914 | thylakoid | Light reaction | ATP synthase | Synthesis of ATP 
920 | carbon 14 atom | Radioactivity | radioactive isotope | Radioactivity 
927 | mitochondrion | Eukaryotic oxidative phosphorylation | CAM plant | Starch storage by plant 
927 | mitochondrion | Eukaryotic oxidative phosphorylation | CAM plant | Crassulacean acid metabolism 
928 | mitochondrion | Eukaryotic pyruvate oxidation | CAM plant | Starch storage by plant 
928 | mitochondrion | Eukaryotic pyruvate oxidation | CAM plant | Crassulacean acid metabolism 
932 | macrophage | Phagocytosis | carbon 14 atom | Radioactivity 
936 | lysosomal enzyme | Hydrolysis | lysosome | Intracellular digestion 
936 | lysosomal enzyme | Hydrolysis | lysosome | Autophagy 
939 | thylakoid | Light reaction | lysosome | Intracellular digestion 
939 | thylakoid | Light reaction | lysosome | Autophagy 
940 | cytoplasmic protein kinase | Phosphorylation | plant | Starch storage by plant 
940 | cytoplasmic protein kinase | Phosphorylation | plant | Photosynthesis 
948 | carbon 14 atom | Radioactivity | ATP synthase | Facilitated diffusion 
948 | carbon 14 atom | Radioactivity | ATP synthase | Synthesis of ATP 
955 | dynein | Dynein walking | radioactive isotope | Radioactivity 
956 | cellulose | Adhesion | lysosome | Intracellular digestion 
956 | cellulose | Adhesion | lysosome | Autophagy 
959 | cytoplasmic protein kinase | Phosphorylation | ribonuclease | Hydrolysis 
963 | rough endoplasmic reticulum | Metabolism | ATP synthase | Facilitated diffusion 
963 | rough endoplasmic reticulum | Metabolism | ATP synthase | Synthesis of ATP 
966 | mitochondrion | Eukaryotic oxidative phosphorylation | cytoplasmic protein kinase | Phosphorylation 
967 | mitochondrion | Eukaryotic pyruvate oxidation | cytoplasmic protein kinase | Phosphorylation 
969 | thylakoid | Light reaction | CAM plant | Starch storage by plant 
969 | thylakoid | Light reaction | CAM plant | Crassulacean acid metabolism 
980 | thylakoid | Light reaction | radioactive isotope | Radioactivity 
982 | thylakoid | Light reaction | CAM plant | Starch storage by plant 
982 | thylakoid | Light reaction | CAM plant | Crassulacean acid metabolism 
983 | cellulose | Adhesion | radioactive isotope | Radioactivity 
987 | PEP carboxylase | Carbon fixation | CAM plant | Starch storage by plant 
987 | PEP carboxylase | Carbon fixation | CAM plant | Crassulacean acid metabolism 
993 | thylakoid | Light reaction | thylakoid | Light reaction 
996 | pepsin | Hydrolysis | ribonuclease | Hydrolysis 
1002 | rough endoplasmic reticulum | Metabolism | pepsin | Hydrolysis 
1006 | mitochondrion | Eukaryotic oxidative phosphorylation | CAM plant | Starch storage by plant 
1006 | mitochondrion | Eukaryotic oxidative phosphorylation | CAM plant | Crassulacean acid metabolism 
1007 | mitochondrion | Eukaryotic pyruvate oxidation | CAM plant | Starch storage by plant 
1007 | mitochondrion | Eukaryotic pyruvate oxidation | CAM plant | Crassulacean acid metabolism 
1008 | rough endoplasmic reticulum | Metabolism | ribonuclease | Hydrolysis 
1017 | PEP carboxylase | Carbon fixation | ATP synthase | Facilitated diffusion 
1017 | PEP carboxylase | Carbon fixation | ATP synthase | Synthesis of ATP 
1021 | cotransporter | Cotransport | pepsin | Hydrolysis 
1022 | cotransporter | Exergonic process | pepsin | Hydrolysis 
1023 | lysosome | Intracellular digestion | ribonuclease | Hydrolysis 
1024 | lysosome | Autophagy | ribonuclease | Hydrolysis 
1028 | smooth endoplasmic reticulum | Metabolism | thylakoid | Light reaction 
1030 | PEP carboxylase | Carbon fixation | CAM plant | Starch storage by plant 
1030 | PEP carboxylase | Carbon fixation | CAM plant | Crassulacean acid metabolism 
1035 | PEP carboxylase | Carbon fixation | lysosome | Intracellular digestion 
1035 | PEP carboxylase | Carbon fixation | lysosome | Autophagy 
1036 | cytoplasmic protein kinase | Phosphorylation | lysosome | Intracellular digestion 
1036 | cytoplasmic protein kinase | Phosphorylation | lysosome | Autophagy 
1047 | C4 plant | C4-photosynthesis | ATP synthase | Facilitated diffusion 
1047 | C4 plant | C4-photosynthesis | ATP synthase | Synthesis of ATP 
1048 | C4 plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
1048 | C4 plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
1049 | PEP carboxylase | Carbon fixation | pepsin | Hydrolysis 
1051 | rough endoplasmic reticulum | Metabolism | ATP synthase | Facilitated diffusion 
1051 | rough endoplasmic reticulum | Metabolism | ATP synthase | Synthesis of ATP 
1055 | PEP carboxylase | Carbon fixation | plant | Starch storage by plant 
1055 | PEP carboxylase | Carbon fixation | plant | Photosynthesis 
1059 | mitochondrion | Eukaryotic oxidative phosphorylation | C4 plant | C4-photosynthesis 
1059 | mitochondrion | Eukaryotic oxidative phosphorylation | C4 plant | Starch storage by plant 
1060 | mitochondrion | Eukaryotic pyruvate oxidation | C4 plant | C4-photosynthesis 
1060 | mitochondrion | Eukaryotic pyruvate oxidation | C4 plant | Starch storage by plant 
1061 | carbon 14 atom | Radioactivity | ATP synthase | Facilitated diffusion 
1061 | carbon 14 atom | Radioactivity | ATP synthase | Synthesis of ATP 
1076 | lysosomal enzyme | Hydrolysis | CAM plant | Starch storage by plant 
1076 | lysosomal enzyme | Hydrolysis | CAM plant | Crassulacean acid metabolism 
1081 | radioactive isotope | Radioactivity | ribonuclease | Hydrolysis 
1083 | cytoplasmic protein kinase | Phosphorylation | C4 plant | C4-photosynthesis 
1083 | cytoplasmic protein kinase | Phosphorylation | C4 plant | Starch storage by plant 
1084 | ribonuclease | Hydrolysis | ATP synthase | Facilitated diffusion 
1084 | ribonuclease | Hydrolysis | ATP synthase | Synthesis of ATP 
1087 | ribonuclease | Hydrolysis | ribonuclease | Hydrolysis 
1091 | PEP carboxylase | Carbon fixation | pepsin | Hydrolysis 
1099 | C4 plant | C4-photosynthesis | ATP synthase | Facilitated diffusion 
1099 | C4 plant | C4-photosynthesis | ATP synthase | Synthesis of ATP 
1100 | C4 plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
1100 | C4 plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
1105 | lysosome | Intracellular digestion | thylakoid | Light reaction 
1106 | lysosome | Autophagy | thylakoid | Light reaction 
1109 | cellulose | Adhesion | C4 plant | C4-photosynthesis 
1109 | cellulose | Adhesion | C4 plant | Starch storage by plant 
1110 | carbon 14 atom | Radioactivity | lysosome | Intracellular digestion 
1110 | carbon 14 atom | Radioactivity | lysosome | Autophagy 
1113 | C4 plant | C4-photosynthesis | C4 plant | C4-photosynthesis 
1113 | C4 plant | C4-photosynthesis | C4 plant | Starch storage by plant 
1114 | C4 plant | Starch storage by plant | C4 plant | C4-photosynthesis 
1114 | C4 plant | Starch storage by plant | C4 plant | Starch storage by plant 
1119 | CAM plant | Starch storage by plant | thylakoid | Light reaction 
1120 | CAM plant | Crassulacean acid metabolism | thylakoid | Light reaction 
1122 | rough endoplasmic reticulum | Metabolism | thylakoid | Light reaction 
1124 | C3 plant | Starch storage by plant | plant | Starch storage by plant 
1124 | C3 plant | Starch storage by plant | plant | Photosynthesis 
1126 | plant | Starch storage by plant | CAM plant | Starch storage by plant 
1126 | plant | Starch storage by plant | CAM plant | Crassulacean acid metabolism 
1127 | plant | Photosynthesis | CAM plant | Starch storage by plant 
1127 | plant | Photosynthesis | CAM plant | Crassulacean acid metabolism 
1133 | plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
1133 | plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
1134 | plant | Photosynthesis | ATP synthase | Facilitated diffusion 
1134 | plant | Photosynthesis | ATP synthase | Synthesis of ATP 
1135 | rough endoplasmic reticulum | Metabolism | thylakoid | Light reaction 
1142 | smooth endoplasmic reticulum | Metabolism | CAM plant | Starch storage by plant 
1142 | smooth endoplasmic reticulum | Metabolism | CAM plant | Crassulacean acid metabolism 
1147 | macrophage | Phagocytosis | pepsin | Hydrolysis 
1154 | transport membrane protein | Facilitated diffusion | C4 plant | C4-photosynthesis 
1154 | transport membrane protein | Facilitated diffusion | C4 plant | Starch storage by plant 
1161 | C4 plant | C4-photosynthesis | thylakoid | Light reaction 
1162 | C4 plant | Starch storage by plant | thylakoid | Light reaction 
1163 | ATP synthase | Facilitated diffusion | CAM plant | Starch storage by plant 
1163 | ATP synthase | Facilitated diffusion | CAM plant | Crassulacean acid metabolism 
1164 | ATP synthase | Synthesis of ATP | CAM plant | Starch storage by plant 
1164 | ATP synthase | Synthesis of ATP | CAM plant | Crassulacean acid metabolism 
1170 | PEP carboxylase | Carbon fixation | ATP synthase | Facilitated diffusion 
1170 | PEP carboxylase | Carbon fixation | ATP synthase | Synthesis of ATP 
1171 | phosphofructokinase | Phosphorylation | ATP synthase | Facilitated diffusion 
1171 | phosphofructokinase | Phosphorylation | ATP synthase | Synthesis of ATP 
1183 | radioactive isotope | Radioactivity | CAM plant | Starch storage by plant 
1183 | radioactive isotope | Radioactivity | CAM plant | Crassulacean acid metabolism 
1184 | PEP carboxylase | Carbon fixation | plant | Starch storage by plant 
1184 | PEP carboxylase | Carbon fixation | plant | Photosynthesis 
1186 | PEP carboxylase | Carbon fixation | radioactive isotope | Radioactivity 
1190 | lysosomal enzyme | Hydrolysis | carbon 14 atom | Radioactivity 
1194 | C3 plant | Starch storage by plant | carbon 14 atom | Radioactivity 
1195 | macrophage | Phagocytosis | thylakoid | Light reaction 
1198 | ribonuclease | Hydrolysis | CAM plant | Starch storage by plant 
1198 | ribonuclease | Hydrolysis | CAM plant | Crassulacean acid metabolism 
1203 | CAM plant | Starch storage by plant | lysosome | Intracellular digestion 
1203 | CAM plant | Starch storage by plant | lysosome | Autophagy 
1204 | CAM plant | Crassulacean acid metabolism | lysosome | Intracellular digestion 
1204 | CAM plant | Crassulacean acid metabolism | lysosome | Autophagy 
1206 | CAM plant | Starch storage by plant | lysosome | Intracellular digestion 
1206 | CAM plant | Starch storage by plant | lysosome | Autophagy 
1207 | CAM plant | Crassulacean acid metabolism | lysosome | Intracellular digestion 
1207 | CAM plant | Crassulacean acid metabolism | lysosome | Autophagy 
1211 | lysosomal enzyme | Hydrolysis | lysosome | Intracellular digestion 
1211 | lysosomal enzyme | Hydrolysis | lysosome | Autophagy 
1216 | carbon 14 atom | Radioactivity | cytoplasmic protein kinase | Phosphorylation 
1224 | lysosomal enzyme | Hydrolysis | pepsin | Hydrolysis 
1226 | pepsin | Hydrolysis | pepsin | Hydrolysis 
1227 | C4 plant | C4-photosynthesis | lysosome | Intracellular digestion 
1227 | C4 plant | C4-photosynthesis | lysosome | Autophagy 
1228 | C4 plant | Starch storage by plant | lysosome | Intracellular digestion 
1228 | C4 plant | Starch storage by plant | lysosome | Autophagy 
1229 | cytoplasmic protein kinase | Phosphorylation | lysosome | Intracellular digestion 
1229 | cytoplasmic protein kinase | Phosphorylation | lysosome | Autophagy 
1230 | carbon 14 atom | Radioactivity | cytoplasmic protein kinase | Phosphorylation 
1239 | PEP carboxylase | Carbon fixation | ribonuclease | Hydrolysis 
1249 | dynein | Dynein walking | cytoplasmic protein kinase | Phosphorylation 
1250 | radioactive isotope | Radioactivity | ATP synthase | Facilitated diffusion 
1250 | radioactive isotope | Radioactivity | ATP synthase | Synthesis of ATP 
1257 | plant | Starch storage by plant | carbon 14 atom | Radioactivity 
1258 | plant | Photosynthesis | carbon 14 atom | Radioactivity 
1263 | mitochondrion | Eukaryotic oxidative phosphorylation | thylakoid | Light reaction 
1264 | mitochondrion | Eukaryotic pyruvate oxidation | thylakoid | Light reaction 
1268 | cytoplasmic protein kinase | Phosphorylation | carbon 14 atom | Radioactivity 
1269 | rough endoplasmic reticulum | Metabolism | cytoplasmic protein kinase | Phosphorylation 
1273 | radioactive isotope | Radioactivity | plant | Starch storage by plant 
1273 | radioactive isotope | Radioactivity | plant | Photosynthesis 
1279 | radioactive isotope | Radioactivity | C4 plant | C4-photosynthesis 
1279 | radioactive isotope | Radioactivity | C4 plant | Starch storage by plant 
1286 | C3 plant | Starch storage by plant | pepsin | Hydrolysis 
1288 | dynein | Dynein walking | lysosome | Intracellular digestion 
1288 | dynein | Dynein walking | lysosome | Autophagy 
1303 | chloroplast | Photosynthesis | cytoplasmic protein kinase | Phosphorylation 
1305 | PEP carboxylase | Carbon fixation | C4 plant | C4-photosynthesis 
1305 | PEP carboxylase | Carbon fixation | C4 plant | Starch storage by plant 
1307 | plant | Starch storage by plant | thylakoid | Light reaction 
1308 | plant | Photosynthesis | thylakoid | Light reaction 
1311 | transport membrane protein | Facilitated diffusion | carbon 14 atom | Radioactivity 
1312 | chloroplast | Photosynthesis | ATP synthase | Facilitated diffusion 
1312 | chloroplast | Photosynthesis | ATP synthase | Synthesis of ATP 
1313 | pepsin | Hydrolysis | radioactive isotope | Radioactivity 
1314 | C4 plant | C4-photosynthesis | ribonuclease | Hydrolysis 
1315 | C4 plant | Starch storage by plant | ribonuclease | Hydrolysis 
1319 | ATP synthase | Facilitated diffusion | plant | Starch storage by plant 
1319 | ATP synthase | Facilitated diffusion | plant | Photosynthesis 
1320 | ATP synthase | Synthesis of ATP | plant | Starch storage by plant 
1320 | ATP synthase | Synthesis of ATP | plant | Photosynthesis 
1331 | mitochondrion | Eukaryotic oxidative phosphorylation | cytoplasmic protein kinase | Phosphorylation 
1332 | mitochondrion | Eukaryotic pyruvate oxidation | cytoplasmic protein kinase | Phosphorylation 
